market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,6e-06,2025-04-28 02:00:16,2025-04-28 02:01:38
10000CAW-USD-SWAP-LIN,1e-05,2025-04-28 01:00:16,2025-04-28 01:59:57
1000ANDY-USD-SWAP-LIN,0.00013,2025-04-28 01:00:14,2025-04-28 01:58:26
1000BOBO-USD-SWAP-LIN,3.4e-05,2025-04-28 01:00:15,2025-04-28 01:59:17
1000BONK-USD-SWAP-LIN,-1.8e-05,2025-04-28 01:00:14,2025-04-28 01:58:12
1000CAT-USD-SWAP-LIN,4e-06,2025-04-28 02:00:14,2025-04-28 02:00:41
1000CHEEMS-USD-SWAP-LIN,1e-06,2025-04-28 02:00:16,2025-04-28 02:01:49
1000COQ-USD-SWAP-LIN,-1e-06,2025-04-28 01:00:14,2025-04-28 01:58:30
1000FLOKI-USD-SWAP-LIN,-2.5e-05,2025-04-28 01:00:14,2025-04-28 01:58:22
1000LUNC-USD-SWAP-LIN,4e-06,2025-04-28 01:00:06,2025-04-28 01:54:31
1000MOG-USD-SWAP-LIN,5.4e-05,2025-04-28 01:00:07,2025-04-28 01:55:09
1000NEIRO1ETH-USD-SWAP-LIN,-1e-06,2025-04-28 02:00:13,2025-04-28 02:00:26
1000PEPE-USD-SWAP-LIN,8e-06,2025-04-28 01:00:07,2025-04-28 01:55:13
1000PORK-USD-SWAP-LIN,-1e-05,2025-04-28 02:00:14,2025-04-28 02:00:48
1000SATS-USD-SWAP-LIN,-3.1e-05,2025-04-28 02:00:14,2025-04-28 02:01:09
1000SHIB-USD-SWAP-LIN,-2e-05,2025-04-28 01:00:14,2025-04-28 01:58:19
1000TOSHI-USD-SWAP-LIN,1e-06,2025-04-28 01:00:15,2025-04-28 01:59:53
1000USA-USD-SWAP-LIN,4.3e-05,2025-04-28 01:00:15,2025-04-28 01:59:46
1000WEN-USD-SWAP-LIN,1.7e-05,2025-04-28 01:00:15,2025-04-28 01:59:21
1000WHY-USD-SWAP-LIN,-3e-06,2025-04-28 01:00:15,2025-04-28 01:59:49
1000WUF-USD-SWAP-LIN,1.2e-05,2025-04-28 02:00:13,2025-04-28 02:00:18
AAVE-USD-SWAP-LIN,-1e-05,2025-04-28 01:00:09,2025-04-28 01:55:35
ACE-USD-SWAP-LIN,-3.8e-05,2025-04-28 01:00:07,2025-04-28 01:54:59
ACT-USD-SWAP-LIN,-7e-06,2025-04-28 02:00:16,2025-04-28 02:02:25
ACX-USD-SWAP-LIN,-5.1e-05,2025-04-28 02:00:21,2025-04-28 02:06:35
ADA-USD-SWAP-LIN,-2.9e-05,2025-04-28 01:00:04,2025-04-28 01:52:25
AERO-USD-SWAP-LIN,0.0,2025-04-28 01:00:11,2025-04-28 01:57:36
AEVO-USD-SWAP-LIN,-3.9e-05,2025-04-28 01:00:11,2025-04-28 01:57:21
AGLD-USD-SWAP-LIN,0.0,2025-04-28 02:00:18,2025-04-28 02:03:16
AI16Z-USD-SWAP-LIN,0.0,2025-04-28 02:00:19,2025-04-28 02:04:58
AIMEMECOIN-USD-SWAP-LIN,2e-06,2025-04-28 02:00:19,2025-04-28 02:04:33
AIXBT-USD-SWAP-LIN,0.0,2025-04-28 02:00:19,2025-04-28 02:04:40
ALCH-USD-SWAP-LIN,5.7e-05,2025-04-28 02:00:20,2025-04-28 02:05:23
ALGO-USD-SWAP-LIN,-4e-06,2025-04-28 02:00:20,2025-04-28 02:05:48
ALT-USD-SWAP-LIN,-3.2e-05,2025-04-28 01:00:05,2025-04-28 01:53:26
ANIME-USD-SWAP-LIN,-3.1e-05,2025-04-28 02:00:24,2025-04-28 02:08:47
ANSEM-USD-SWAP-LIN,0.0,2025-04-28 02:00:18,2025-04-28 02:03:34
APE-USD-SWAP-LIN,-2.6e-05,2025-04-28 01:00:10,2025-04-28 01:57:11
API3-USD-SWAP-LIN,-3.5e-05,2025-04-28 01:00:05,2025-04-28 01:53:29
APT-USD-SWAP-LIN,-2.4e-05,2025-04-28 01:00:06,2025-04-28 01:54:41
APU-USD-SWAP-LIN,2.5e-05,2025-04-28 01:00:15,2025-04-28 01:59:06
AR-USD-SWAP-LIN,-3.5e-05,2025-04-28 02:00:16,2025-04-28 02:01:56
ARB-USD-SWAP-LIN,-3.2e-05,2025-04-28 01:00:04,2025-04-28 01:52:39
ARC-USD-SWAP-LIN,3e-06,2025-04-28 02:00:21,2025-04-28 02:07:00
ARKM-USD-SWAP-LIN,1e-06,2025-04-28 01:00:11,2025-04-28 01:57:39
ASTRO-USD-SWAP-LIN,1.4e-05,2025-04-28 02:00:19,2025-04-28 02:05:02
ATOM-USD-SWAP-LIN,8e-06,2025-04-28 01:00:07,2025-04-28 01:54:45
AVA-USD-SWAP-LIN,-6e-06,2025-04-28 02:00:18,2025-04-28 02:04:21
AVAX-USD-SWAP-LIN,-1.6e-05,2025-04-28 01:00:04,2025-04-28 01:52:28
AXL-USD-SWAP-LIN,-6.5e-05,2025-04-28 01:00:10,2025-04-28 01:56:56
B3-USD-SWAP-LIN,3.7e-05,2025-04-28 02:00:25,2025-04-28 02:09:38
BABY-USD-SWAP-LIN,-3.7e-05,2025-04-28 02:00:27,2025-04-28 02:11:16
BAN-USD-SWAP-LIN,4e-06,2025-04-28 02:00:17,2025-04-28 02:02:54
BANANA-USD-SWAP-LIN,-3.3e-05,2025-04-28 01:00:15,2025-04-28 01:59:35
BANANABSC-USD-SWAP-LIN,-2e-06,2025-04-28 02:00:20,2025-04-28 02:05:16
BASEISFOREVERYONE-USD-SWAP-LIN,9.3e-05,2025-04-28 02:00:27,2025-04-28 02:11:20
BCH-USD-SWAP-LIN,-4.3e-05,2025-04-28 01:00:09,2025-04-28 01:55:45
BEAM-USD-SWAP-LIN,1e-06,2025-04-28 01:00:10,2025-04-28 01:56:35
BERA-USD-SWAP-LIN,-1.3e-05,2025-04-28 02:00:24,2025-04-28 02:09:24
BIFI-USD-SWAP-LIN,1.8e-05,2025-04-28 02:00:21,2025-04-28 02:06:46
BIGTIME-USD-SWAP-LIN,2e-06,2025-04-28 01:00:06,2025-04-28 01:53:47
BIO-USD-SWAP-LIN,-5e-05,2025-04-28 02:00:23,2025-04-28 02:07:54
BITCOIN-USD-SWAP-LIN,1.7e-05,2025-04-28 01:00:08,2025-04-28 01:55:17
BLAST-USD-SWAP-LIN,-2e-06,2025-04-28 01:00:14,2025-04-28 01:58:48
BLUR-USD-SWAP-LIN,-4e-06,2025-04-28 01:00:06,2025-04-28 01:53:44
BMT-USD-SWAP-LIN,-7e-06,2025-04-28 02:00:26,2025-04-28 02:10:22
BNB-USD-SWAP-LIN,-7e-06,2025-04-28 01:00:03,2025-04-28 01:52:14
BNKR-USD-SWAP-LIN,8e-06,2025-04-28 02:00:26,2025-04-28 02:10:51
BOME-USD-SWAP-LIN,-1.9e-05,2025-04-28 01:00:09,2025-04-28 01:56:03
BRETT-USD-SWAP-LIN,0.000121,2025-04-28 01:00:10,2025-04-28 01:56:17
BROCCOLI1-USD-SWAP-LIN,4.8e-05,2025-04-28 02:00:25,2025-04-28 02:09:49
BROCCOLI3-USD-SWAP-LIN,1e-06,2025-04-28 02:00:25,2025-04-28 02:09:53
BTC-USD-SWAP-LIN,-2.4e-05,2025-04-28 01:00:01,2025-04-28 01:52:07
BUTTCOIN-USD-SWAP-LIN,0.000756,2025-04-28 02:00:27,2025-04-28 02:11:05
CAKE-USD-SWAP-LIN,-2.9e-05,2025-04-28 01:00:10,2025-04-28 01:57:00
CAR-USD-SWAP-LIN,-7.1e-05,2025-04-28 02:00:28,2025-04-28 02:11:49
CETUS-USD-SWAP-LIN,3e-06,2025-04-28 02:00:18,2025-04-28 02:03:52
CFX-USD-SWAP-LIN,-3.7e-05,2025-04-28 02:00:16,2025-04-28 02:02:07
CHEX-USD-SWAP-LIN,3e-06,2025-04-28 02:00:22,2025-04-28 02:07:40
CHILLGUY-USD-SWAP-LIN,4.6e-05,2025-04-28 02:00:19,2025-04-28 02:04:44
CKB-USD-SWAP-LIN,-3.2e-05,2025-04-28 02:00:14,2025-04-28 02:01:06
CLANKER-USD-SWAP-LIN,-3e-06,2025-04-28 02:00:19,2025-04-28 02:04:51
COCORO-USD-SWAP-LIN,-4e-06,2025-04-28 02:00:25,2025-04-28 02:10:11
COLLAT-USD-SWAP-LIN,0.000132,2025-04-28 02:00:25,2025-04-28 02:10:00
COOKIE-USD-SWAP-LIN,2e-06,2025-04-28 02:00:23,2025-04-28 02:08:01
COW-USD-SWAP-LIN,0.0,2025-04-28 02:00:18,2025-04-28 02:03:49
CPOOL-USD-SWAP-LIN,2e-06,2025-04-28 02:00:22,2025-04-28 02:07:29
CREAM-USD-SWAP-LIN,3e-06,2025-04-28 02:00:17,2025-04-28 02:02:36
CRV-USD-SWAP-LIN,-4.1e-05,2025-04-28 01:00:11,2025-04-28 01:57:32
CULT-USD-SWAP-LIN,9.8e-05,2025-04-28 02:00:20,2025-04-28 02:06:17
DADDY-USD-SWAP-LIN,6.6e-05,2025-04-28 01:00:13,2025-04-28 01:58:04
DARK-USD-SWAP-LIN,1.5e-05,2025-04-28 02:00:27,2025-04-28 02:11:24
DEEP-USD-SWAP-LIN,-5e-06,2025-04-28 02:00:24,2025-04-28 02:08:55
DEGEN-USD-SWAP-LIN,2e-06,2025-04-28 01:00:10,2025-04-28 01:56:21
DEGOD-USD-SWAP-LIN,-6.3e-05,2025-04-28 02:00:14,2025-04-28 02:01:20
DINERO-USD-SWAP-LIN,-1.3e-05,2025-04-28 02:00:15,2025-04-28 02:01:24
DINO-USD-SWAP-LIN,0.0,2025-04-28 02:00:20,2025-04-28 02:05:45
DOG-USD-SWAP-LIN,2e-06,2025-04-28 01:00:16,2025-04-28 02:00:04
DOGE-USD-SWAP-LIN,-1.2e-05,2025-04-28 01:00:06,2025-04-28 01:53:51
DOGEAI-USD-SWAP-LIN,3.7e-05,2025-04-28 02:00:24,2025-04-28 02:09:02
DOGEGOV-USD-SWAP-LIN,2.6e-05,2025-04-28 02:00:17,2025-04-28 02:02:58
DOGINME-USD-SWAP-LIN,0.00015,2025-04-28 01:00:10,2025-04-28 01:56:13
DOGS-USD-SWAP-LIN,-2.2e-05,2025-04-28 02:00:14,2025-04-28 02:01:02
DOT-USD-SWAP-LIN,-1.9e-05,2025-04-28 01:00:06,2025-04-28 01:54:13
DRIFT-USD-SWAP-LIN,-1e-06,2025-04-28 02:00:14,2025-04-28 02:01:17
DYM-USD-SWAP-LIN,-3.2e-05,2025-04-28 01:00:06,2025-04-28 01:54:23
