market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,1e-06,2025-04-12 01:00:15,2025-04-12 01:53:00
10000CAW-USD-SWAP-LIN,-3.6e-05,2025-04-12 01:00:13,2025-04-12 01:51:15
1000ANDY-USD-SWAP-LIN,7.1e-05,2025-04-12 01:00:11,2025-04-12 01:49:45
1000BOBO-USD-SWAP-LIN,3.1e-05,2025-04-12 01:00:13,2025-04-12 01:50:35
1000BONK-USD-SWAP-LIN,-2.1e-05,2025-04-12 01:00:11,2025-04-12 01:49:31
1000CAT-USD-SWAP-LIN,2e-06,2025-04-12 01:00:14,2025-04-12 01:51:58
1000CHEEMS-USD-SWAP-LIN,-3e-06,2025-04-12 01:00:15,2025-04-12 01:53:10
1000COQ-USD-SWAP-LIN,-1.8e-05,2025-04-12 01:00:11,2025-04-12 01:49:49
1000FLOKI-USD-SWAP-LIN,-3.1e-05,2025-04-12 01:00:11,2025-04-12 01:49:42
1000LUNC-USD-SWAP-LIN,-4e-06,2025-04-12 01:00:06,2025-04-12 01:45:49
1000MOG-USD-SWAP-LIN,1.8e-05,2025-04-12 01:00:07,2025-04-12 01:46:28
1000NEIRO1ETH-USD-SWAP-LIN,0.0,2025-04-12 01:00:14,2025-04-12 01:51:44
1000PEPE-USD-SWAP-LIN,-1.5e-05,2025-04-12 01:00:07,2025-04-12 01:46:32
1000PORK-USD-SWAP-LIN,1.3e-05,2025-04-12 01:00:14,2025-04-12 01:52:05
1000SATS-USD-SWAP-LIN,1.2e-05,2025-04-12 01:00:14,2025-04-12 01:52:27
1000SHIB-USD-SWAP-LIN,-2.7e-05,2025-04-12 01:00:11,2025-04-12 01:49:38
1000TOSHI-USD-SWAP-LIN,-5.5e-05,2025-04-12 01:00:13,2025-04-12 01:51:12
1000USA-USD-SWAP-LIN,3.5e-05,2025-04-12 01:00:13,2025-04-12 01:51:04
1000WEN-USD-SWAP-LIN,3e-06,2025-04-12 01:00:13,2025-04-12 01:50:38
1000WHY-USD-SWAP-LIN,3e-06,2025-04-12 01:00:13,2025-04-12 01:51:08
1000WUF-USD-SWAP-LIN,-3e-06,2025-04-12 01:00:14,2025-04-12 01:51:37
AAVE-USD-SWAP-LIN,-2e-05,2025-04-12 01:00:08,2025-04-12 01:46:53
