market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,8e-06,2025-06-10 02:00:13,2025-06-10 02:06:20
100000JAGER-USD-SWAP-LIN,-3e-06,2025-06-10 02:00:23,2025-06-10 02:16:58
10000CAW-USD-SWAP-LIN,-1.7e-05,2025-06-10 02:00:12,2025-06-10 02:04:39
1000ANDY-USD-SWAP-LIN,3e-06,2025-06-10 02:00:10,2025-06-10 02:03:05
1000BOBO-USD-SWAP-LIN,2.9e-05,2025-06-10 02:00:11,2025-06-10 02:03:55
1000BONK-USD-SWAP-LIN,-8e-06,2025-06-10 02:00:10,2025-06-10 02:02:50
1000CAT-USD-SWAP-LIN,2e-06,2025-06-10 02:00:12,2025-06-10 02:05:22
1000CHEEMS-USD-SWAP-LIN,-2e-06,2025-06-10 02:00:13,2025-06-10 02:06:31
1000COQ-USD-SWAP-LIN,3e-06,2025-06-10 02:00:10,2025-06-10 02:03:08
1000FLOKI-USD-SWAP-LIN,-1.9e-05,2025-06-10 02:00:10,2025-06-10 02:03:01
1000LUNC-USD-SWAP-LIN,3e-06,2025-06-10 01:00:05,2025-06-10 01:59:10
1000MOG-USD-SWAP-LIN,5e-06,2025-06-10 01:00:06,2025-06-10 01:59:50
1000NEIRO1ETH-USD-SWAP-LIN,2e-06,2025-06-10 02:00:12,2025-06-10 02:05:08
1000PEPE-USD-SWAP-LIN,-1e-05,2025-06-10 01:00:06,2025-06-10 01:59:54
1000PORK-USD-SWAP-LIN,4e-06,2025-06-10 02:00:12,2025-06-10 02:05:29
1000SATS-USD-SWAP-LIN,-5.4e-05,2025-06-10 02:00:13,2025-06-10 02:05:51
1000SHIB-USD-SWAP-LIN,-1.6e-05,2025-06-10 02:00:10,2025-06-10 02:02:58
1000TOSHI-USD-SWAP-LIN,1e-06,2025-06-10 02:00:12,2025-06-10 02:04:35
1000USA-USD-SWAP-LIN,0.000251,2025-06-10 02:00:12,2025-06-10 02:04:29
1000WEN-USD-SWAP-LIN,2e-06,2025-06-10 02:00:11,2025-06-10 02:03:59
1000WHY-USD-SWAP-LIN,-1.4e-05,2025-06-10 02:00:12,2025-06-10 02:04:32
1000WUF-USD-SWAP-LIN,4e-06,2025-06-10 02:00:12,2025-06-10 02:05:01
AAVE-USD-SWAP-LIN,-3e-06,2025-06-10 02:00:08,2025-06-10 02:00:11
ACE-USD-SWAP-LIN,-1.7e-05,2025-06-10 01:00:06,2025-06-10 01:59:39
ACT-USD-SWAP-LIN,-6e-06,2025-06-10 02:00:14,2025-06-10 02:07:07
ACX-USD-SWAP-LIN,-4.8e-05,2025-06-10 02:00:17,2025-06-10 02:11:14
ADA-USD-SWAP-LIN,-1.4e-05,2025-06-10 01:00:03,2025-06-10 01:57:03
AERO-USD-SWAP-LIN,-3e-06,2025-06-10 02:00:10,2025-06-10 02:02:13
AEVO-USD-SWAP-LIN,-3.2e-05,2025-06-10 02:00:09,2025-06-10 02:01:59
AGLD-USD-SWAP-LIN,-3e-06,2025-06-10 02:00:14,2025-06-10 02:08:00
AI16Z-USD-SWAP-LIN,4e-06,2025-06-10 02:00:16,2025-06-10 02:09:38
AIMEMECOIN-USD-SWAP-LIN,4e-06,2025-06-10 02:00:15,2025-06-10 02:09:13
AIXBT-USD-SWAP-LIN,1.3e-05,2025-06-10 02:00:15,2025-06-10 02:09:20
ALCH-USD-SWAP-LIN,1.5e-05,2025-06-10 02:00:16,2025-06-10 02:10:03
ALGO-USD-SWAP-LIN,-2.2e-05,2025-06-10 02:00:17,2025-06-10 02:10:28
ALT-USD-SWAP-LIN,-1.4e-05,2025-06-10 01:00:04,2025-06-10 01:58:04
ANIME-USD-SWAP-LIN,-1e-06,2025-06-10 02:00:19,2025-06-10 02:13:31
ANSEM-USD-SWAP-LIN,3e-06,2025-06-10 02:00:15,2025-06-10 02:08:15
APE-USD-SWAP-LIN,-1e-05,2025-06-10 02:00:09,2025-06-10 02:01:48
API3-USD-SWAP-LIN,-1.3e-05,2025-06-10 01:00:04,2025-06-10 01:58:08
APT-USD-SWAP-LIN,-4e-06,2025-06-10 01:00:05,2025-06-10 01:59:21
APU-USD-SWAP-LIN,1.9e-05,2025-06-10 02:00:11,2025-06-10 02:03:44
AR-USD-SWAP-LIN,-3.1e-05,2025-06-10 02:00:13,2025-06-10 02:06:38
